text,label
"Why is moveLeft x1 y1 not used in the plan?",1
"Why is moveRight x1 y1 not used in the plan?",1
"Why is moveUp x1 y1 not used in the plan?",1
"Why is moveDown x1 y1 not used in the plan?",1
"Why is pushLeft x1 y1 z1 crate1 not used in the plan?",1
"Why is pushRight x1 y1 z1 crate1 not used in the plan?",1
"Why is pushUp x1 y1 z1 crate1 not used in the plan?",1
"Why is pushDown x1 y1 z1 crate1 not used in the plan?",1
"Why is moveLeft x2 y2 not used in the plan?",1
"Why is moveRight x2 y2 not used in the plan?",1
"Why is moveUp x2 y2 not used in the plan?",1
"Why is moveDown x2 y2 not used in the plan?",1
"Why is pushLeft x2 y2 z2 crate2 not used in the plan?",1
"Why is pushRight x2 y2 z2 crate2 not used in the plan?",1
"Why is pushUp x2 y2 z2 crate2 not used in the plan?",1
"Why is pushDown x2 y2 z2 crate2 not used in the plan?",1
"Why is moveLeft x3 y3 not used in the plan?",1
"Why is moveRight x3 y3 not used in the plan?",1
"Why is moveUp x3 y3 not used in the plan?",1
"Why is moveDown x3 y3 not used in the plan?",1
"Why is pushLeft x3 y3 z3 crate3 not used in the plan?",1
"Why is pushRight x3 y3 z3 crate3 not used in the plan?",1
"Why is pushUp x3 y3 z3 crate3 not used in the plan?",1
"Why is pushDown x3 y3 z3 crate3 not used in the plan?",1
"Why is moveLeft x1 y1 used in the plan?",2
"Why is moveRight x1 y1 used in the plan?",2
"Why is moveUp x1 y1 used in the plan?",2
"Why is moveDown x1 y1 used in the plan?",2
"Why is pushLeft x1 y1 z1 crate1 used in the plan?",2
"Why is pushRight x1 y1 z1 crate1 used in the plan?",2
"Why is pushUp x1 y1 z1 crate1 used in the plan?",2
"Why is pushDown x1 y1 z1 crate1 used in the plan?",2
"Why is moveLeft x2 y2 used in the plan?",2
"Why is moveRight x2 y2 used in the plan?",2
"Why is moveUp x2 y2 used in the plan?",2
"Why is moveDown x2 y2 used in the plan?",2
"Why is pushLeft x2 y2 z2 crate2 used in the plan?",2
"Why is pushRight x2 y2 z2 crate2 used in the plan?",2
