text,intent
"Why is moveLeft x1 y1 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x1 y1 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x1 y1 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x1 y1 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x1 y1 z1 crate1 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x1 y1 z1 crate1 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x1 y1 z1 crate1 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x1 y1 z1 crate1 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x2 y2 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x2 y2 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x2 y2 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x2 y2 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x2 y2 z2 crate2 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x2 y2 z2 crate2 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x2 y2 z2 crate2 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x2 y2 z2 crate2 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x3 y3 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x3 y3 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x3 y3 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x3 y3 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x3 y3 z3 crate3 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x3 y3 z3 crate3 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x3 y3 z3 crate3 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x3 y3 z3 crate3 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x4 y4 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x4 y4 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x4 y4 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x4 y4 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x4 y4 z4 crate4 not used in the plan?","Why is action A not used in the plan?"
"Why is pushRight x4 y4 z4 crate4 not used in the plan?","Why is action A not used in the plan?"
"Why is pushUp x4 y4 z4 crate4 not used in the plan?","Why is action A not used in the plan?"
"Why is pushDown x4 y4 z4 crate4 not used in the plan?","Why is action A not used in the plan?"
"Why is moveLeft x5 y5 not used in the plan?","Why is action A not used in the plan?"
"Why is moveRight x5 y5 not used in the plan?","Why is action A not used in the plan?"
"Why is moveUp x5 y5 not used in the plan?","Why is action A not used in the plan?"
"Why is moveDown x5 y5 not used in the plan?","Why is action A not used in the plan?"
"Why is pushLeft x5 y5 z5 crate5 not used in the plan?","Why is action A not used in the plan?"
